ID_MUESTRA,CODIGO_MUESTRA,ID_MUESTRA_FISICA,CODIGO_MUESTRA_FISICA,ID_TIPO_MUESTRA,LOTE,ID_ESPECIE,ID_TIPO_CULTIVO,ID_PARTE_PLANTA,ID_UBICACION,ID_METODO_EXTRACCION,ID_SOLVENTE,MODO_IONIZACION,ID_COLUMNA,VISITA,SECUENCIA_INYECCION
121,20_GC_1_-_POS,21,20_GC_1_-,4,BATCH_02_POS,1,1,1,4,1,1,POS,1,1,
122,21_GC_1_0_POS,22,21_GC_1_0,4,BATCH_02_POS,1,1,1,4,1,1,POS,1,1,
123,22_MB_1_C-0_1_POS,23,22_MB_1_C-0_1,1,BATCH_02_POS,1,1,1,3,1,1,POS,1,1,
124,23_MB_2_C-2_1_POS,24,23_MB_2_C-2_1,1,BATCH_02_POS,1,1,1,3,1,1,POS,1,1,
125,24_MB_3_A+2_1_POS,25,24_MB_3_A+2_1,1,BATCH_02_POS,1,1,1,1,1,1,POS,1,1,
126,25_MB_4_B+1_2_POS,26,25_MB_4_B+1_2,1,BATCH_02_POS,1,1,1,2,1,1,POS,1,2,
127,26_MB_5_A+1_1_POS,27,26_MB_5_A+1_1,1,BATCH_02_POS,1,1,1,1,1,1,POS,1,1,
128,27_POOLED_QC_3_POS,28,27_POOLED_QC_3,3,BATCH_02_POS,1,1,1,4,1,1,POS,1,3,
129,28_MB_6_A-0_1_POS,29,28_MB_6_A-0_1,1,BATCH_02_POS,1,1,1,1,1,1,POS,1,1,
130,29_MB_7_C+2_3_POS,30,29_MB_7_C+2_3,1,BATCH_02_POS,1,1,1,3,1,1,POS,1,3,
131,30_MB_8_B+0_2_POS,31,30_MB_8_B+0_2,1,BATCH_02_POS,1,1,1,2,1,1,POS,1,2,
132,31_MB_9_C-0_2_POS,32,31_MB_9_C-0_2,1,BATCH_02_POS,1,1,1,3,1,1,POS,1,2,
133,32_MB_10_A+2_2_POS,33,32_MB_10_A+2_2,1,BATCH_02_POS,1,1,1,1,1,1,POS,1,2,
134,33_POOLED_QC_4_POS,34,33_POOLED_QC_4,3,BATCH_02_POS,1,1,1,4,1,1,POS,1,4,
135,34_MB_11_A-1_1_POS,35,34_MB_11_A-1_1,1,BATCH_02_POS,1,1,1,1,1,1,POS,1,1,
136,35_MB_12_A+2_3_POS,36,35_MB_12_A+2_3,1,BATCH_02_POS,1,1,1,1,1,1,POS,1,3,
137,36_MB_13_A+0_1_POS,37,36_MB_13_A+0_1,1,BATCH_02_POS,1,1,1,1,1,1,POS,1,1,
138,37_MB_14_C-0_3_POS,38,37_MB_14_C-0_3,1,BATCH_02_POS,1,1,1,3,1,1,POS,1,3,
139,38_MB_15_B+0_3_POS,39,38_MB_15_B+0_3,1,BATCH_02_POS,1,1,1,2,1,1,POS,1,3,
140,39_POOLED_QC_5_POS,40,39_POOLED_QC_5,3,BATCH_02_POS,1,1,1,4,1,1,POS,1,5,
141,40_GC_2_A_POS,41,40_GC_2_A,4,BATCH_02_POS,1,1,1,1,1,1,POS,1,2,
142,41_GC_2_1_POS,42,41_GC_2_1,4,BATCH_02_POS,1,1,1,4,1,1,POS,1,2,
143,42_GC_2_0_POS,43,42_GC_2_0,4,BATCH_02_POS,1,1,1,4,1,1,POS,1,2,
144,43_GC_2_B_POS,44,43_GC_2_B,4,BATCH_02_POS,1,1,1,2,1,1,POS,1,2,
145,44_GC_2_C_POS,45,44_GC_2_C,4,BATCH_02_POS,1,1,1,3,1,1,POS,1,2,
146,45_GC_2_+_POS,46,45_GC_2_+,4,BATCH_02_POS,1,1,1,4,1,1,POS,1,2,
147,46_GC_2_-_POS,47,46_GC_2_-,4,BATCH_02_POS,1,1,1,4,1,1,POS,1,2,
148,47_GC_2_2_POS,48,47_GC_2_2,4,BATCH_02_POS,1,1,1,4,1,1,POS,1,2,
149,48_MB_16_A+0_2_POS,49,48_MB_16_A+0_2,1,BATCH_02_POS,1,1,1,1,1,1,POS,1,2,
150,49_MB_17_B+2_3_POS,50,49_MB_17_B+2_3,1,BATCH_02_POS,1,1,1,2,1,1,POS,1,3,
151,50_MB_18_A-1_2_POS,51,50_MB_18_A-1_2,1,BATCH_02_POS,1,1,1,1,1,1,POS,1,2,
152,51_MB_19_C-2_2_POS,52,51_MB_19_C-2_2,1,BATCH_02_POS,1,1,1,3,1,1,POS,1,2,
153,52_MB_20_C+0_1_POS,53,52_MB_20_C+0_1,1,BATCH_02_POS,1,1,1,3,1,1,POS,1,1,
154,53_POOLED_QC_6_POS,54,53_POOLED_QC_6,3,BATCH_02_POS,1,1,1,4,1,1,POS,1,6,
155,54_MB_21_C-2_3_POS,55,54_MB_21_C-2_3,1,BATCH_02_POS,1,1,1,3,1,1,POS,1,3,
156,55_MB_22_C-1_1_POS,56,55_MB_22_C-1_1,1,BATCH_02_POS,1,1,1,3,1,1,POS,1,1,
157,56_MB_23_B+1_3_POS,57,56_MB_23_B+1_3,1,BATCH_02_POS,1,1,1,2,1,1,POS,1,3,
158,57_MB_24_A+1_2_POS,58,57_MB_24_A+1_2,1,BATCH_02_POS,1,1,1,1,1,1,POS,1,2,
159,58_MB_25_B-0_3_POS,59,58_MB_25_B-0_3,1,BATCH_02_POS,1,1,1,2,1,1,POS,1,3,
160,59_POOLED_QC_7_POS,60,59_POOLED_QC_7,3,BATCH_02_POS,1,1,1,4,1,1,POS,1,7,
161,60_MB_26_A+1_3_POS,61,60_MB_26_A+1_3,1,BATCH_02_POS,1,1,1,1,1,1,POS,1,3,
162,61_MB_27_A-2_3_POS,62,61_MB_27_A-2_3,1,BATCH_02_POS,1,1,1,1,1,1,POS,1,3,
163,62_MB_28_B+2_1_POS,63,62_MB_28_B+2_1,1,BATCH_02_POS,1,1,1,2,1,1,POS,1,1,
164,63_MB_29_C+2_1_POS,64,63_MB_29_C+2_1,1,BATCH_02_POS,1,1,1,3,1,1,POS,1,1,
165,64_MB_30_B-1_1_POS,65,64_MB_30_B-1_1,1,BATCH_02_POS,1,1,1,2,1,1,POS,1,1,
166,65_GC_3_-_POS,66,65_GC_3_-,4,BATCH_02_POS,1,1,1,4,1,1,POS,1,3,
167,66_GC_3_B_POS,67,66_GC_3_B,4,BATCH_02_POS,1,1,1,2,1,1,POS,1,3,
168,67_GC_3_1_POS,68,67_GC_3_1,4,BATCH_02_POS,1,1,1,4,1,1,POS,1,3,
169,68_GC_3_A_POS,69,68_GC_3_A,4,BATCH_02_POS,1,1,1,1,1,1,POS,1,3,
170,69_GC_3_C_POS,70,69_GC_3_C,4,BATCH_02_POS,1,1,1,3,1,1,POS,1,3,
171,70_POOLED_QC_8_POS,71,70_POOLED_QC_8,3,BATCH_02_POS,1,1,1,4,1,1,POS,1,8,
172,71_GC_3_+_POS,72,71_GC_3_+,4,BATCH_02_POS,1,1,1,4,1,1,POS,1,3,
173,72_GC_3_0_POS,73,72_GC_3_0,4,BATCH_02_POS,1,1,1,4,1,1,POS,1,3,
174,73_GC_3_2_POS,74,73_GC_3_2,4,BATCH_02_POS,1,1,1,4,1,1,POS,1,3,
175,74_MB_31_A-2_1_POS,75,74_MB_31_A-2_1,1,BATCH_02_POS,1,1,1,1,1,1,POS,1,1,
176,75_MB_32_B+2_2_POS,76,75_MB_32_B+2_2,1,BATCH_02_POS,1,1,1,2,1,1,POS,1,2,
177,76_MB_33_C+0_2_POS,77,76_MB_33_C+0_2,1,BATCH_02_POS,1,1,1,3,1,1,POS,1,2,
178,77_MB_34_B-1_2_POS,78,77_MB_34_B-1_2,1,BATCH_02_POS,1,1,1,2,1,1,POS,1,2,
179,78_MB_35_A-1_3_POS,79,78_MB_35_A-1_3,1,BATCH_02_POS,1,1,1,1,1,1,POS,1,3,
180,79_POOLED_QC_9_POS,80,79_POOLED_QC_9,3,BATCH_02_POS,1,1,1,4,1,1,POS,1,9,
181,8_PB_POS,101,8_PB,2,BATCH_02_POS,,,,,1,1,POS,1,1,
182,80_MB_36_A+0_3_POS,81,80_MB_36_A+0_3,1,BATCH_02_POS,1,1,1,1,1,1,POS,1,3,
183,81_MB_37_B-1_3_POS,82,81_MB_37_B-1_3,1,BATCH_02_POS,1,1,1,2,1,1,POS,1,3,
184,82_MB_38_C+1_2_POS,83,82_MB_38_C+1_2,1,BATCH_02_POS,1,1,1,3,1,1,POS,1,2,
