ID_MUESTRA,ID_MUESTRA_FISICA,TIPO_MUESTRA,LOTE,ID_ESPECIE,TIPO_CULTIVO,PARTE_ESTUDIADA,ORIGEN_GEOGRAFICO,EXPOSICION_LUZ,ESTADIO_MADUREZ,METODO_EXTRACCION,SOLVENTE_EXTRACCION,MODO_IONIZACION,COLUMNA_CROMATOGRAFICA
GC_2_1_NEG,GC_2_1,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Napo, Ecuador (chakra no controlada en este pool)",,Media (6-8 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_2_0_NEG,GC_2_0,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Napo, Ecuador (chakra no controlada en este pool)",,Temprana (4-6 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_2_B_NEG,GC_2_B,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra B (Alto Pano), Napo, Ecuador",,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_2_C_NEG,GC_2_C,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra C (Alto Tena), Napo, Ecuador",,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_2_+_NEG,GC_2_+,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Napo, Ecuador (chakra no controlada en este pool)",Luz,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_2_-_NEG,GC_2_-,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Napo, Ecuador (chakra no controlada en este pool)",Sombra,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_2_2_NEG,GC_2_2,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Napo, Ecuador (chakra no controlada en este pool)",,Tardia (8-10 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_16_A+0_2_NEG,MB_16_A+0_2,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra A (Talag), Napo, Ecuador",Luz,Temprana (4-6 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_17_B+2_3_NEG,MB_17_B+2_3,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra B (Alto Pano), Napo, Ecuador",Luz,Tardia (8-10 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_18_A-1_2_NEG,MB_18_A-1_2,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra A (Talag), Napo, Ecuador",Sombra,Media (6-8 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
